DATE,Volume BTC,Miners Revenue
01-01-2010,0,0
01-02-2010,0,0
01-03-2010,0,0
01-04-2010,0,0
01-05-2010,0,0
01-06-2010,0,0
01-07-2010,0,0
01-08-2010,0,0
01-09-2010,0,0
01-10-2010,0,0
01-11-2010,0,0
01-12-2010,0,0
1/13/2010,0,0
1/14/2010,0,0
1/15/2010,0,0
1/16/2010,0,0
1/17/2010,0,0
1/18/2010,0,0
1/19/2010,0,0
1/20/2010,0,0
1/21/2010,0,0
1/22/2010,0,0
1/23/2010,0,0
1/24/2010,0,0
1/25/2010,0,0
1/26/2010,0,0
1/27/2010,0,0
1/28/2010,0,0
1/29/2010,0,0
1/30/2010,0,0
1/31/2010,0,0
02-01-2010,0,0
02-02-2010,0,0
02-03-2010,0,0
02-04-2010,0,0
02-05-2010,0,0
02-06-2010,0,0
02-07-2010,0,0
02-08-2010,0,0
02-09-2010,0,0
02-10-2010,0,0
02-11-2010,0,0
02-12-2010,0,0
2/13/2010,0,0
2/14/2010,0,0
2/15/2010,0,0
2/16/2010,0,0
2/17/2010,0,0
2/18/2010,0,0
2/19/2010,0,0
2/20/2010,0,0
2/21/2010,0,0
2/22/2010,0,0
2/23/2010,0,0
2/24/2010,0,0
2/25/2010,0,0
2/26/2010,0,0
2/27/2010,0,0
2/28/2010,0,0
03-01-2010,0,0
03-02-2010,0,0
03-03-2010,0,0
03-04-2010,0,0
03-05-2010,0,0
03-06-2010,0,0
03-07-2010,0,0
03-08-2010,0,0
03-09-2010,0,0
03-10-2010,0,0
03-11-2010,0,0
03-12-2010,0,0
3/13/2010,0,0
3/14/2010,0,0
3/15/2010,0,0
3/16/2010,0,0
3/17/2010,0,0
3/18/2010,0,0
3/19/2010,0,0
3/20/2010,0,0
3/21/2010,0,0
3/22/2010,0,0
3/23/2010,0,0
3/24/2010,0,0
3/25/2010,0,0
3/26/2010,0,0
3/27/2010,0,0
3/28/2010,0,0
3/29/2010,0,0
3/30/2010,0,0
3/31/2010,0,0
04-01-2010,0,0
04-02-2010,0,0
04-03-2010,0,0
04-04-2010,0,0
04-05-2010,0,0
04-06-2010,0,0
04-07-2010,0,0
04-08-2010,0,0
04-09-2010,0,0
04-10-2010,0,0
04-11-2010,0,0
04-12-2010,0,0
4/13/2010,0,0
4/14/2010,0,0
4/15/2010,0,0
4/16/2010,0,0
4/17/2010,0,0
4/18/2010,0,0
4/19/2010,0,0
4/20/2010,0,0
4/21/2010,0,0
4/22/2010,0,0
4/23/2010,0,0
4/24/2010,0,0
4/25/2010,0,0
4/26/2010,0,0
4/27/2010,0,0
4/28/2010,0,0
4/29/2010,0,0
4/30/2010,0,0
05-01-2010,0,0
05-02-2010,0,0
05-03-2010,0,0
05-04-2010,0,0
05-05-2010,0,0
05-06-2010,0,0
05-07-2010,0,0
05-08-2010,0,0
05-09-2010,0,0
05-10-2010,0,0
05-11-2010,0,0
05-12-2010,0,0
5/13/2010,0,0
5/14/2010,0,0
5/15/2010,0,0
5/16/2010,0,0
5/17/2010,0,0
5/18/2010,0,0
5/19/2010,0,0
5/20/2010,0,0
5/21/2010,0,0
5/22/2010,0,0
5/23/2010,0,0
5/24/2010,0,0
5/25/2010,0,0
5/26/2010,0,0
5/27/2010,0,0
5/28/2010,0,0
5/29/2010,0,0
5/30/2010,0,0
5/31/2010,0,0
06-01-2010,0,0
06-02-2010,0,0
06-03-2010,0,0
06-04-2010,0,0
